City,Link,Content
Paris,https://www.lonelyplanet.com/france/paris/health,Tap water in Paris is safe to drink%2C although many Parisians prefer to buy bottled water.
London,https://www.lonelyplanet.com/england/london/health,London tap water is drinkable and is generally of high quality. Many diners at restaurants ask for tap water.
New York City,https://www.lonelyplanet.com/usa/new-york-city/health,The water flowing through the tap is of very high quality in NYC and is safe to drink.          
Los Angeles,https://www.lonelyplanet.com/usa/los-angeles/health,Tap water is safe to drink in LA. In 2017 the Los Angeles Department of Water and Power reported that the nearly 160 billion gallons of drinking water provided to the city met or exceeded all drinking water standards for health%2C cleanliness and safety.          
Rome,https://www.lonelyplanet.com/italy/rome/health,Tap water is safe to drink in Rome.
Sydney,https://www.lonelyplanet.com/australia/sydney/health,Sydney tap water tastes very chlorinated but is perfectly safe to drink.          
Tokyo,https://www.lonelyplanet.com/japan/tokyo/health,Tap water is safe to drink in Tokyo.
Amsterdam,https://www.lonelyplanet.com/the-netherlands/amsterdam/health,Amsterdam's tap water is safe to drink.
Cape Town,https://www.lonelyplanet.com/south-africa/cape-town/health,Tap water is drinkable. However%2C at the time of research%2C severe drought has enforced water restrictions so buying drinking water is recommended.
San Francisco,https://www.lonelyplanet.com/usa/san-francisco/health,The city's tap water is not only drinkable but of excellent quality: it's straight from Hetch Hetchy Reservoir in the High Sierra mountains of Yosemite National Park.          
Hong Kong,https://www.lonelyplanet.com/china/hong-kong/health,Hong Kong tap water conforms to World Health Organization standards and is considered safe to drink%2C though many locals prefer bottled for reasons of flavour and prestige.
Berlin,https://www.lonelyplanet.com/germany/berlin/health,Tap water is perfectly fine to drink%2C although most people prefer bottled sparkling or still water. It is not customary to receive a glass of tap water in cafes or restaurants and asking for one may be met with the suggestion that you order the bottled variety.          
Bangkok,https://www.lonelyplanet.com/thailand/bangkok/health,Although it's deemed potable by the authorities%2C Thais don't drink tap water and neither should you. Stick to bottled or filtered water during your stay.
Chicago,https://www.lonelyplanet.com/usa/chicago/health,Tap water is safe to drink in Chicago.          
Shanghai,https://www.lonelyplanet.com/china/shanghai/health,Don’t drink tap water or eat ice. Bottled water is readily available. Boiled water is OK.
Barcelona,https://www.lonelyplanet.com/spain/barcelona/health,The tap water is safe to drink in Barcelona%2C but doesn't taste great.          
Melbourne,https://www.lonelyplanet.com/australia/melbourne/health,Tap water is safe to drink.
Rio de Janeiro,https://www.lonelyplanet.com/brazil/rio-de-janeiro/health,Tap water in Rio is safe to drink but%2C owing to the treatment process%2C it may not taste very pleasant. Aside from buying bottled water%2C you can bring your own filter to improve the taste. Some hotels have their own filtration system to improve the water quality.          
St Petersburg,https://www.lonelyplanet.com/russia/st-petersburg/health,Reports about the harmful effects of drinking tap water in St Petersburg have been widely publicised and greatly exaggerated. The city’s water supplier%2C Vodokanal (<a href="http://www.vodokanal.spb.ru">www.vodokanal.spb.ru</a>)%2C insists that the water is safe to drink%2C as many local residents do. Nonetheless%2C the pipes are antiquated%2C so the water may contain some metal pollutants. Furthermore%2C traces of the parasite Giardia lamblia have been found on a very small scale; the parasite causes unpleasant stomach cramps%2C nausea%2C bloated stomach%2C diarrhoea and frequent gas – and there is no preventative drug%2C so it is worth taking precautions against contracting it.To be absolutely safe%2C only drink water that has been boiled for 10 minutes or filtered through an antimicrobial water filter. It’s safe to accept tea or coffee at someone’s house%2C and all restaurants and hotels will have filtration systems. Bathing%2C showering and brushing your teeth cause no problems at all.If you develop diarrhoea%2C be sure to drink plenty of fluids%2C preferably including an oral rehydration solution. Imodium is to be taken only in an emergency; otherwise it’s best to let the diarrhoea run its course and eliminate the parasite from the body. Metronidazole (brand name Flagyl) or Tinidazole (known as Fasigyn) are the recommended treatments for Giardia lamblia.
Beijing,https://www.lonelyplanet.com/china/beijing/health,Don’t drink the tap water or eat ice. Bottled water (but check the seal is not broken on the cap)%2C soft drinks%2C alcohol and drinks made from boiled water (tea%2C coffee) are fine.          
Budapest,https://www.lonelyplanet.com/hungary/budapest/health,Tap water in Budapest is safe to drink.          
Seattle,https://www.lonelyplanet.com/usa/seattle/health,Tap water is safe to drink in Seattle.
Venice,https://www.lonelyplanet.com/italy/venice/health,Tap water is drinkable in Venice.          
Vienna,https://www.lonelyplanet.com/austria/vienna/health,Vienna's mountain-spring-fed tap water is completely safe and a pleasure to drink.
Dublin,https://www.lonelyplanet.com/ireland/dublin/health,Don't bother with bottled water in restaurants; Dublin's tap water is perfectly safe%2C free and generally excellent.          
Madrid,https://www.lonelyplanet.com/spain/madrid/health,Tap water is safe to drink in Madrid.
Lisbon,https://www.lonelyplanet.com/portugal/lisbon/health,Tap water is generally safe to drink in Lisbon.
Prague,https://www.lonelyplanet.com/czech-republic/prague/health,Tap water is safe to drink in Prague%2C though nearly everyone drinks bottled water.          
Seoul,https://www.lonelyplanet.com/south-korea/seoul/health,Most people don’t drink the tap water in Seoul%2C but those who do seem to come to no harm. Filtered water is served free of charge in almost all restaurants.          
Washington%2C DC,https://www.lonelyplanet.com/usa/washington-dc/health,Tap water is safe to drink in Washington%2C DC.          
Havana,https://www.lonelyplanet.com/cuba/havana/health,Tap water in Cuba is not reliably safe to drink and outbreaks of cholera have been recorded in recent years. Bottled water called Ciego Montero rarely costs more than CUC$1%2C but is sometimes not available in small towns. Stock up in the city if you're going on a long bus or car journey.
Boston,https://www.lonelyplanet.com/usa/boston/health,Tap water in Boston is safe to drink and perfectly acceptable to order in a restaurant.
Moscow,https://www.lonelyplanet.com/russia/moscow/health,While brushing your teeth with it is OK%2C assume that tap water isn’t safe to drink. Stick to bottled water%2C boil water for 10 minutes or use water purification tablets or a filter.          
Dubai,https://www.lonelyplanet.com/united-arab-emirates/dubai/health,Tap water is safe to drink%2C so think of the environment and resist those plastic bottles if you can.
Kuala Lumpur,https://www.lonelyplanet.com/malaysia/kuala-lumpur/health,<ul class="need-to-know__list"><li>Never drink tap water unless you've verified that it's safe. KL's water supply comes mostly from modern treatment plants but it's still best to boil it before drinking.</li><li>Check bottled-water seals are intact at purchase.</li><li>Avoid ice in places that look dubious.</li><li>Avoid fresh juices if they have not been freshly squeezed or you suspect they may have been watered down.</li><li>Boiling water is the most efficient method of purifying it.</li><li>Iodine%2C the best chemical purifier%2C should not be used by pregnant women or those who suffer thyroid problems.</li></ul>
Buenos Aires,https://www.lonelyplanet.com/argentina/buenos-aires/health,Tap water in Buenos Aires is generally safe to drink.
Athens,https://www.lonelyplanet.com/greece/athens/health,Tap water is drinkable and safe. Good mineral water is also widely available. Higher-end restaurants will often offer bottled water by default%2C but you can always request tap.          
Miami,https://www.lonelyplanet.com/usa/miami/health,Tap water is safe to drink in Miami.
Las Vegas,https://www.lonelyplanet.com/usa/las-vegas/health,Las Vegas' tap water is safe to drink%2C but not particularly tasty. We recommend drinking purified or bottled water where possible%2C and lots of it: it's easy to get dehydrated%2C fast%2C in the desert.          
Delhi,https://www.lonelyplanet.com/india/delhi/health,<ul class="need-to-know__list"><li>Never drink tap water.</li><li>Bottled water is safe.</li><li>Avoid ice unless you know it has been made without tap water. Be careful of fresh juices served at street stalls in particular – they are likely to have been watered down with tap water or may be served in jugs/glasses that have been rinsed in tap water.</li><li>Avoid fruit that you don't peel yourself%2C as it will likely have been rinsed in tap water. Alternatively%2C rinse fruit yourself in bottled water before you eat it.</li><li>Boiling water is usually the most efficient method of purifying it.</li><li>The best chemical purifier is iodine. It should not be used by pregnant women or those with thyroid problems.</li><li>Water filters should also filter out most viruses. Ensure your filter has a chemical barrier such as iodine and a small pore size (less than four microns).</li><li>Some guesthouses%2C cafes and restaurants use water filters; use your own judgement as to whether or not you think this will be safe to drink.</li></ul>
Philadelphia,https://www.lonelyplanet.com/usa/pennsylvania/philadelphia/health,Tap water is of a very high quality in Philadelphia and is safe to drink.          
Milan,https://www.lonelyplanet.com/italy/milan/health,Tap water is drinkable in Milan.
Florence,https://www.lonelyplanet.com/italy/florence/health,Despite the Florentine enthusiasm for consuming bottled mineral water with meals%2C tap water in the city is perfectly drinkable.          
Warsaw,https://www.lonelyplanet.com/poland/warsaw/health,Tap water is generally safe to drink%2C though bottled water is cheap and readily available.
Edinburgh,https://www.lonelyplanet.com/scotland/edinburgh/health,The tap water is safe to drink.          
Copenhagen,https://www.lonelyplanet.com/denmark/copenhagen/health,Tap water in Copenhagen is safe to drink.
