Country,Link,Content
USA,https://www.lonelyplanet.com/usa/health,Tap water is drinkable virtually everywhere in the USA.          
Australia,https://www.lonelyplanet.com/australia/health,Water is generally drinkable in Australia and is usually signposted if it is not safe.
Italy,https://www.lonelyplanet.com/italy/health,Tap water in Italy is safe to drink. The only exception is where a tap is marked 'Acqua non potabile' (Water not suitable for drinking).
Spain,https://www.lonelyplanet.com/spain/health,Tap water is generally safe to drink in Spain%2C although there are exceptions (Ibiza among them). If you are in any doubt%2C ask%2C ¿Es potable el agua (del grifo)? (Is the (tap) water drinkable?). Do not drink water from rivers or lakes as it may contain bacteria or viruses that can cause diarrhoea or vomiting.
India,https://www.lonelyplanet.com/india/health,<ul class="need-to-know__list"><li>Never drink tap water.</li><li>Bottled water is generally safe – check that the seal is intact at purchase.</li><li>Avoid ice unless you know it has been made without tap water.</li><li>Be careful of fresh juices served at street stalls in particular – they're likely to have been watered down with tap water or may be served in jugs/glasses that have been rinsed in tap water.</li><li>Avoid fruit that you don't peel yourself%2C as it will likely have been rinsed in tap water. Alternatively%2C rinse fruit yourself in mineral water before you eat it.</li><li>Boiling water is usually the most efficient method of purifying it.</li><li>The best chemical purifier is iodine. It should not be used by pregnant women or those with thyroid problems.</li><li>Water filters should also filter out most viruses. Ensure your filter has a chemical barrier such as iodine and a small pore size (less than four microns).</li><li>In tourist areas%2C some guesthouses%2C cafes and restaurants use water filters; use your own judgment as to whether you think this water will be safe to drink.</li></ul>
France,https://www.lonelyplanet.com/france/health,Tap water country-wide is drinkable.Some fountains in villages and towns also spout drinking water – 'eau potable' means 'drinking water'%2C 'non potable' means undrinkable. In the chic capital%2C there is even the odd drinking fountain gushing sparkling water.
China,https://www.lonelyplanet.com/china/health,In general%2C you should never drink the tap water in China%2C even in five-star hotels. Boiling water makes it safe to drink%2C but you might still prefer to buy bottled water for the taste or mineral make-up.Follow these tips to avoid becoming ill:<ul class="need-to-know__list"><li>Never drink unboiled tap water.</li><li>Water fountains at the major airports are clearly marked if they are safe to drink from.</li><li>Bottled water is generally safe – check that the seal is intact at purchase.</li><li>Avoid ice.</li><li>Avoid fresh juices – they may have been watered down.</li><li>Boiling water is the most efficient method of purifying water.</li><li>At very high altitudes%2C boil water for an extra minute as water bubbles at a lower temperature.</li><li>The best chemical purifier is iodine. It should not be used by pregnant women or those with thyroid problems.</li><li>Water filters should also filter out viruses. Ensure your filter has a chemical barrier such as iodine and a pore size of less than 4 microns.</li></ul>
England,https://www.lonelyplanet.com/england/health,The tap water is safe to drink.
Greece,https://www.lonelyplanet.com/greece/health,Tap water is drinkable and safe in most of Greece but not always in small villages and on some of the islands. Always ask locally if the water is safe and%2C if in doubt%2C drink boiled or bought water. Even when water is safe%2C the substances and bacteria in it may be different from those you are used to and occasionally%2C can cause vomiting or diarrhoea. Bottled water is widely available%2C but think about the environmental considerations when you opt for bottled over potable tap water.          
Mexico,https://www.lonelyplanet.com/mexico/health,Tap water in Mexico is mostly not safe to drink. Purified water in plastic bottles is sold everywhere and is also available from large dispensers in some accommodations. The most effective means of water purification is vigorous boiling for one minute (three minutes at altitudes over 2000m). Another option is a SteriPen (<a href="http://www.steripen.com">www.steripen.com</a>)%2C which kills 99.9% of bacteria and viruses with ultraviolet light. Pregnant women and those with a history of thyroid disease should not drink iodinated water.
