0
USA	usa
Australia	australia
Italy	italy
Spain	spain
India	india
France	france
Canada	canada
China	china
England	england
Greece	greece
Mexico	mexico
Japan	japan
Thailand	thailand
Germany	germany
New Zealand	new-zealand
Indonesia	indonesia
Brazil	brazil
Turkey	turkey
Russia	russia
Portugal	portugal
South Africa	south-africa
Ireland	ireland
Argentina	argentina
Scotland	scotland
Malaysia	malaysia
Peru	peru
Philippines	philippines
Chile	chile
Poland	poland
Cuba	cuba
Austria	austria
Costa Rica	costa-rica
The Netherlands	the-netherlands
Norway	norway
Switzerland	switzerland
Vietnam	vietnam
South Korea	south-korea
Morocco	morocco
Croatia	croatia
Iceland	iceland
Sweden	sweden
Colombia	colombia
Myanmar (Burma)	myanmar-burma
Ecuador	ecuador
Belgium	belgium
Finland	finland
Denmark	denmark
Tanzania	tanzania
Cambodia	cambodia
Taiwan	taiwan
Iran	iran
Egypt	egypt
Romania	romania
Sri Lanka	sri-lanka
Bolivia	bolivia
Wales	wales
Kenya	kenya
Hungary	hungary
Nepal	nepal
Laos	laos
Pakistan	pakistan
Nicaragua	nicaragua
Slovenia	slovenia
Guatemala	guatemala
French Polynesia	tahiti-and-french-polynesia
Czech Republic	czech-republic
United Arab Emirates	united-arab-emirates
Venezuela	venezuela
Panama	panama
Bulgaria	bulgaria
Mongolia	mongolia
Ukraine	ukraine
Dominican Republic	dominican-republic
Madagascar	madagascar
Belize	belize
Ethiopia	ethiopia
Jamaica	jamaica
Fiji	fiji
Puerto Rico	puerto-rico
Israel	israel
Cyprus	cyprus
Singapore	singapore
Papua New Guinea	papua-new-guinea
Tunisia	tunisia
Montenegro	montenegro
Northern Ireland	ireland/northern-ireland
Estonia	estonia
Jordan	jordan
Lithuania	lithuania
Bangladesh	bangladesh
Mozambique	mozambique
Malta	malta
Bhutan	bhutan
Namibia	namibia
Kyrgyzstan	kyrgyzstan
Oman	oman
Mauritius	mauritius
Georgia	georgia
Uganda	uganda
Kazakhstan	kazakhstan
Azerbaijan	azerbaijan
Uzbekistan	uzbekistan
Botswana	botswana
Honduras	honduras
Serbia	serbia
Latvia	latvia
Malawi	malawi
Slovakia	slovakia
The Cook Islands	rarotonga-and-the-cook-islands
Seychelles	seychelles
Trinidad & Tobago	trinidad-and-tobago
Zimbabwe	zimbabwe
Zambia	zambia
Uruguay	uruguay
El Salvador	el-salvador
The Bahamas	the-bahamas
Maldives	maldives
Saudi Arabia	saudi-arabia
Vanuatu	vanuatu
Tajikistan	tajikistan
Bosnia & Hercegovina	bosnia-and-hercegovina
Armenia	armenia
Lebanon	lebanon
Ghana	ghana
Senegal	senegal
US Virgin Islands	us-virgin-islands
New Caledonia	new-caledonia
Belarus	belarus
Samoa	samoa
Cabo Verde	cape-verde
Albania	albania
Greenland	greenland
Haiti	haiti
Tonga	tonga
Solomon Islands	solomon-islands
British Virgin Islands	british-virgin-islands
Rwanda	rwanda
Guadeloupe	guadeloupe
Afghanistan	afghanistan
North Macedonia	macedonia
Barbados	barbados
Cameroon	cameroon
Bermuda	bermuda
Martinique	martinique
Paraguay	paraguay
St Lucia	st-lucia
Moldova	moldova
Grenada	grenada
Qatar	qatar
Cayman Islands	cayman-islands
St Vincent & the Grenadines	st-vincent-and-the-grenadines
Antigua & Barbuda	antigua-and-barbuda
Luxembourg	luxembourg
Aruba	aruba-bonaire-and-curacao/aruba
Sudan	sudan
Turks & Caicos	turks-and-caicos
Benin	benin
Turkmenistan	turkmenistan
Dominica	dominica
Bahrain	bahrain
St Kitts & Nevis	st-kitts-and-nevis
St-Martin & Sint Maarten	st-martin-sint-maarten-1336613
Lesotho	lesotho
Nigeria	nigeria
Democratic Republic of Congo	democratic-republic-of-congo
The Gambia	the-gambia
Sierra Leone	sierra-leone
Côte d'Ivoire	cote-divoire
North Korea	north-korea
Gabon	gabon
Eritrea	eritrea
Palau	palau
Brunei Darussalam	brunei-darussalam
Timor-Leste	east-timor
Algeria	algeria
Curaçao	aruba-bonaire-and-curacao/curacao
American Samoa	american-samoa
Kuwait	kuwait
Guinea	guinea
eSwatini (Swaziland)	swaziland
St-Barthélemy	st-barthelemy
Burkina Faso	burkina-faso
Kosovo	kosovo
Equatorial Guinea	equatorial-guinea
Mauritania	mauritania
Anguilla	anguilla
Djibouti	djibouti
Guinea-Bissau	guinea-bissau
Guyana	the-guianas/guyana
Somaliland	somaliland-puntland-and-somalia/somaliland
Palestinian Territories	palestinian-territories
Bonaire	aruba-bonaire-and-curacao/bonaire
Republic of Congo	congo
São Tomé & Príncipe	sao-tome-and-principe
Togo	togo
Liberia	liberia
Monaco	monaco
Suriname	the-guianas/suriname
Mali	mali
Burundi	burundi
Sint Eustatius	sint-eustatius
Saba	saba
Liechtenstein	liechtenstein
Montserrat	montserrat
Niger	niger
Federated States of Micronesia	federated-states-of-micronesia
Andorra	andorra
Comoros	comoros
San Marino	italy/emilia-romagna-and-san-marino/san-marino
Angola	angola
Marshall Islands	marshall-islands
Kiribati	kiribati
Chad	chad
Tuvalu	tuvalu
Wallis & Futuna	wallis-and-futuna
Nauru	nauru
Central African Republic	central-african-republic
Libya	libya
South Sudan	south-sudan
Somalia	somalia
Yemen	yemen
Iraq	iraq
Niue	niue
Syria	syria
